chr	bp	p
6	31170528	0.00012
6	31236900	1e-07
6	31237406	1.1e-06
6	31240721	5.9e-09
6	31240988	5.2e-08
6	31241639	7e-07
6	31241737	4.4e-08
6	31242959	3.3e-08
6	31244021	3.2e-06
6	31245573	3.9e-08
6	31251895	3.7e-08
6	31253928	5.7e-08
6	31255424	5.4e-08
6	31255500	5e-08
6	31255541	5.1e-08
6	31255953	1.1e-08
6	31256561	5.1e-08
6	31256753	2.9e-08
6	31257012	4.2e-08
6	31258846	1.1e-07
6	31259137	5.6e-08
6	31259854	4.7e-08
6	31263051	1.6e-13
6	31264823	6.2e-06
6	31264912	1.6e-07
6	31264922	4.1e-08
6	31265314	3.7e-10
6	31265490	8.6e-07
6	31265554	3.7e-08
6	31271601	2.9e-08
6	31271630	3.8e-08
6	31271662	2.9e-08
6	31272261	5.3e-07
6	31272980	3.2e-08
6	31273224	2.8e-08
6	31274380	1.4e-15
6	31275174	2.5e-06
6	31318144	4.9e-06
6	31331829	2.7e-08
6	31335566	4.5e-06
6	31343827	9.6e-06
6	31347451	3.7e-06
6	31464571	1.7e-06
6	31465637	2.2e-05
6	31465917	4.2e-07
6	31473286	2.2e-06
6	31480923	1.6e-06
6	31501413	5.3e-06
6	31505887	3.7e-06
6	31508761	9.5e-06
6	31518354	4.5e-07
6	31525448	2e-08
6	31542308	4e-11
6	31543758	4.7e-06
6	31555130	2e-07
6	31556581	1.1e-10
6	31564821	2.4e-10
6	31572927	3.7e-07
6	31575276	3.3e-07
6	31802541	4.9e-06
6	31883679	2.6e-06
6	31907147	7.8e-06
6	31908761	9.3e-06
6	31915614	2e-06
6	31920873	1.5e-06
6	31928306	8.9e-06
6	31936679	0.00068
6	31940897	7.7e-06
6	32038550	1e-06
6	32050758	8.8e-07
6	32059867	2.5e-06
6	32064726	3.1e-06
6	32083300	3.2e-06
6	32161324	1.5e-10
6	32163274	5.3e-09
6	32181182	4.2e-10
6	32182759	7.9e-10
6	32183175	1.9e-06
6	32184345	2e-07
6	32184574	2.3e-07
6	32186245	5.8e-09
6	32186872	4.8e-07
6	32190217	5.8e-08
6	32190390	8.9e-07
6	32191339	6.7e-11
6	32194339	3.8e-07
6	32197463	1.4e-08
6	32261252	6.7e-07
6	32284108	1.7e-06
6	32290208	5.1e-07
6	32339548	4.9e-06
6	32345689	5.8e-07
6	32376471	3.7e-09
6	32378866	2.2e-06
6	32392945	0.00044
6	32399286	4.2e-06
6	32400088	5e-07
6	32401217	5.2e-07
6	32401327	6.2e-07
6	32404859	4.5e-07
6	32405192	4.9e-07
6	32406342	4.9e-07
6	32410137	4.9e-06
6	32410576	3.8e-06
6	32605884	1.8e-06
6	32658310	5.9e-08
6	32667850	8e-07
6	32680970	7.3e-08
6	32681049	6.3e-08
6	32681085	6.9e-08
6	32681277	4.4e-09
6	32681483	9e-07
6	32681530	6e-07
6	32681568	5.5e-08
6	32681645	2.1e-08
6	32682019	1.6e-06
6	32682137	3e-06
6	32682174	7e-08
6	32689503	4.7e-05
6	32703021	5.8e-06
6	32706234	5.6e-06
6	32706334	5.5e-06
6	32706478	5.8e-06
6	32712104	2.2e-06
6	32712247	2.4e-06
6	32712384	2.1e-06
6	32725193	1e-06
6	32729459	9.7e-07
6	32729821	7e-07
6	32730012	7.8e-07
6	32730086	9.1e-07
6	32739967	1.3e-08
6	32744347	3.1e-07
6	32744869	2.9e-08
6	32765130	2e-06
6	32769663	5.4e-07
6	32769926	6e-07
6	32775004	1.3e-06
6	32776583	1.6e-06
6	32781776	3.4e-10
6	32782582	5.3e-06
6	32782605	2.5e-08
6	32784620	4.5e-06
6	32784783	1.9e-06
6	32787036	1.3e-07
6	32787056	1.9e-07
6	32788707	1.1e-08
6	32789480	8.1e-07
6	32791299	1.9e-07
6	32793523	4.8e-07
6	32794676	3.3e-07
6	32795965	1.4e-07
6	32796019	1.7e-07
6	32796144	1.5e-07
6	32796226	8.4e-06
6	32796346	1.1e-06
6	32796480	7.8e-07
6	32796521	2.6e-07
6	32796653	9.3e-08
6	32796685	1.1e-07
6	32796751	1.5e-07
6	32796967	2.1e-07
6	32797072	3.2e-07
6	32797361	7.9e-07
6	32974081	9.4e-06
6	32974401	2.9e-06
6	32975014	6.3e-06
6	32975257	6.3e-06
6	32979980	9.3e-06
6	33056435	0.23
6	33175824	0.01
6	33215904	0.07
6	33480738	1.1e-06
6	36954949	0.4
6	39251682	0.0012
6	41191221	0.042
6	41582989	0.17
6	42025058	0.89
6	42704119	0.0034
6	43221909	0.00036
6	43233266	0.0002
6	43235405	0.00019
6	44289451	0.047
6	44588609	0.0083
6	47348288	0.29
6	48013978	0.012
6	48894648	0.083
6	51183658	0.00044
6	51382397	6.9e-05
6	51642708	0.0034
6	51757014	0.8
6	52097072	2.5e-05
6	52101165	0.0001
6	52118025	0.00078
6	53377122	0.039
6	56150940	0.0096
6	56231723	0.58
6	57022596	0.036
6	57347497	0.0029
6	57836774	0.093
6	57880892	0.16
6	58055927	0.001
6	62272284	0.0026
6	62344064	0.0013
6	62358578	0.00069
6	62528122	0.027
6	64084805	0.99
6	64240516	0.19
6	65128316	0.1
6	65301504	0.0095
6	73752010	0.045
6	73789510	0.041
6	73790847	0.00011
6	73798609	5.1e-05
6	73804874	0.0016
6	74536356	0.0045
6	75306072	0.49
6	76014987	0.21
6	77476285	0.0086
6	80079465	0.0044
6	80116447	0.0014
6	80131140	0.0068
6	81594707	0.069
6	82165731	0.03
6	82429806	0.84
6	83887495	0.33
6	86354442	0.3
6	88032834	0.01
6	89511943	0.88
6	89565737	0.00015
6	90629110	0.018
6	90656307	6e-05
6	90695766	1.2e-05
6	90820581	0.00031
6	90828882	0.00032
6	90941240	5.9e-06
6	90941289	5.1e-06
6	90946479	4e-06
6	90973159	3.6e-06
6	91011673	4.5e-06
6	91019304	7.8e-06
6	91122971	0.088
6	91311839	0.00093
6	91354461	0.003
6	94029815	0.014
6	94468484	0.0019
6	95227713	0.25
6	95841116	3.8e-05
6	95841641	0.00058
6	95855301	4.8e-05
6	95979356	0.035
6	99293881	0.00095
6	99588888	0.47
6	100208624	0.065
6	101315622	0.08
6	102011012	0.033
6	102111184	0.014
6	103535881	0.14
6	104307953	0.00042
6	105404198	0.00017
6	106017976	0.4
6	106371088	0.0044
6	106435025	4.4e-08
6	106435269	4.6e-08
6	106449085	9.9e-07
6	106468486	0.00016
6	106470070	2.7e-07
6	106511888	4.7e-07
6	106522027	4.3e-07
6	109525589	0.45
6	110126831	0.22
6	111525383	0.062
6	111751853	0.0026
6	111914248	0.00023
6	111924410	0.0069
6	111942156	0.00035
6	112526404	0.00074
6	115063621	0.039
6	118726243	0.0008
6	119647135	3.2e-05
6	119678881	0.14
6	120897637	0.93
6	121653046	0.085
6	122163145	3.7e-05
6	122522125	0.00031
6	122765905	0.03
6	122945140	0.0043
6	123571228	0.012
6	124589303	0.82
6	125470996	0.2
6	127031550	0.037
6	127275281	0.092
6	127455821	6.4e-06
6	127457260	5.1e-06
6	127461682	5.1e-06
6	127476717	2.6e-05
6	127493141	0.00016
6	127493611	3.4e-05
6	128295502	0.0016
6	128351143	0.014
6	129961976	0.00033
6	129971929	0.0052
6	132884701	0.65
6	133906414	0.13
6	134487125	0.0013
6	134582344	0.0064
6	134630783	4.2e-06
6	134637847	2.7e-06
6	134896214	0.11
6	137158764	0.017
6	137514790	5.4e-05
6	137541075	1.4e-05
6	137924265	8.7e-05
6	138052680	7.4e-05
6	138075443	0.00034
6	138465435	0.0048
6	139660012	0.011
6	141529979	0.0011
6	141530140	0.0002
6	141533923	0.0019
6	143488835	0.13
6	143898894	0.00031
6	144272240	0.079
6	145897622	0.015
6	146527731	0.83
6	148710800	1.9e-05
6	148710896	2.7e-05
6	148900632	0.31
6	149576004	0.00059
6	149600310	0.00085
6	150550973	0.46
6	151042271	0.0046
6	151617378	9.7e-05
6	151876815	0.07
6	151899843	0.016
6	152575173	0.0084
6	154483146	7.3e-05
6	155645607	0.27
6	158327269	0.04
6	158464172	0.046
6	159042876	0.0015
6	159056490	0.0041
6	159490436	1.4e-07
6	159514778	1.7e-06
6	159622026	2.6e-05
6	159634674	3.2e-05
6	159643696	0.00031
6	159650025	0.00018
6	159912854	0.62
6	160415341	0.013
6	163387377	0.038
6	164363807	0.00014
6	164502228	0.26
6	164693724	0.00065
6	165742365	0.09
6	165807107	0.00031
6	165883486	0.92
6	165914360	0.011
6	167359558	1.6e-07
6	167360104	9.7e-05
6	167360389	2.7e-07
6	167371110	4.7e-12
6	167373547	4.5e-12
6	167373708	1.4e-07
6	167383075	1.1e-11
6	167383972	4.8e-12
6	167385533	4.4e-12
6	167391212	4.5e-12
6	167399282	4.8e-12
6	167399512	9.2e-12
6	167403873	9.1e-12
6	167404187	3.8e-12
6	167406318	3.9e-12
6	167406633	2.5e-12
6	167411008	4.1e-12
6	167411788	4.8e-12
6	167419105	2.7e-11
6	167433925	2.3e-11
6	167434686	4.7e-12
6	167435325	2.8e-12
6	167437988	3.2e-12
6	167440128	3e-12
6	167440244	3.3e-12
6	167448181	3.9e-11
6	167451129	5.1e-11
6	167454097	6.7e-06
6	167455139	3.2e-06
6	167461501	1e-09
6	167461562	9.8e-09
6	167463914	1.1e-08
6	167467349	9.9e-10
6	167467433	1e-09
6	167467800	9.8e-09
6	167473006	7.5e-10
6	167473685	5.9e-09
6	167486578	9.5e-10
6	167494397	1e-09
6	167500562	1.4e-07
6	167502638	3.3e-07
6	167504127	1.5e-07
6	167505791	1.8e-07
6	167509878	2.2e-08
6	167513252	1.9e-07
6	167513998	2e-07
6	167514083	1.5e-07
6	167516095	1.1e-07
6	167516181	2.3e-07
6	167516458	2.4e-06
6	167520749	7.6e-07
6	167520865	1.1e-06
6	167521562	5.2e-06
6	167521624	4.4e-06
6	167522300	1.5e-06
6	167522386	8.9e-06
6	167523395	8.2e-07
6	170012962	0.0049
6	170538325	0.023
6	170563478	0.23
6	170723832	0.01
6	170754268	0.8
6	170840937	0.084
7	1866931	7.6e-05
7	1886174	0.00017
7	1890504	0.0018
7	3534505	0.096
7	3732481	0.023
7	4439072	0.0034
7	4665570	0.00047
7	5578519	0.0058
7	7195947	0.33
7	7545571	0.7
7	7851307	0.0024
7	8589071	0.0012
7	9514529	0.12
7	11366231	0.51
7	11681776	0.15
7	12596535	0.014
7	14607627	0.027
7	16381366	0.12
7	17050643	0.024
7	17721075	0.0052
7	19930038	0.0017
7	20301141	5.2e-05
7	20311267	2.7e-05
7	20313821	2.4e-05
7	20335488	9.5e-05
7	20475344	0.0096
7	22001646	0.8
7	22165180	0.25
7	22171582	0.0004
7	25962870	0.036
7	26767430	0.00089
7	26828965	2.8e-05
7	26853934	2.7e-05
7	27116197	0.12
7	27704400	0.00019
7	28180556	0.00062
7	28185091	0.17
7	28391182	0.71
7	28801301	0.011
7	29659729	0.0052
7	31518967	0.002
7	33083972	0.0018
7	33116245	7.1e-06
7	33138875	0.00035
7	33184783	0.00012
7	33322438	2.7e-05
7	33325040	1.5e-05
7	33385262	4.9e-06
7	33389689	6.1e-06
7	33457501	2.4e-05
7	33478558	4e-05
7	33483258	0.013
7	33714435	0.13
7	35538435	0.12
7	37451713	0.039
7	38052205	0.6
7	40085765	0.047
7	40086722	0.0011
7	40193535	0.013
7	40958978	0.0047
7	42108661	0.00021
7	42115888	5.7e-05
7	43500727	0.42
7	43976634	0.00047
7	43989395	0.31
7	45009341	0.02
7	46753085	0.001
7	47088521	0.1
7	47873697	8.9e-05
7	47878993	0.00064
7	50269672	3.6e-08
7	50270014	3.1e-08
7	50278585	2.3e-06
7	50304461	1.2e-08
7	50305863	5.3e-05
7	50308811	7e-05
7	50313352	2.2e-05
7	50323174	1e-05
7	50423963	0.15
7	51721997	0.44
7	52326551	0.0039
7	52794073	0.017
7	54117816	0.009
7	54627890	0.67
7	55187053	0.004
7	55187138	0.012
7	55440320	0.032
7	55462951	0.046
7	55961981	0.0002
7	55962907	0.00018
7	55991144	0.0006
7	56206361	0.27
7	62535226	0.15
7	62652936	0.55
7	64416284	0.029
7	66931015	0.01
7	66939101	0.068
7	67764754	0.0013
7	68295086	0.001
7	68349402	0.0043
7	69996207	0.22
7	70641645	0.96
7	71011470	0.033
7	71026463	0.088
7	72282003	0.0001
7	73007943	0.00081
7	73035857	0.006
7	75163169	0.00032
7	75283383	0.004
7	77860274	0.079
7	78114661	0.006
7	78119199	0.021
7	78120735	8.7e-05
7	78139581	0.0019
7	78158840	7.6e-05
7	80073310	0.0015
7	80434918	0.00049
7	80444576	3.7e-05
7	80453744	2.6e-05
7	82977124	0.87
7	83261085	0.27
7	88095957	0.028
7	88704998	0.3
7	90285329	0.092
7	90871330	0.41
7	91700879	0.0049
7	92531791	0.012
7	95223868	0.00019
7	96019473	0.0067
7	96826387	0.064
7	97021576	0.0051
7	98697795	0.9
7	98759117	5.8e-05
7	99245013	0.3
7	100315517	0.00081
7	100427263	0.02
7	100451732	0.0002
7	100471121	0.0004
7	103741108	0.44
7	104317105	0.34
7	105249554	0.029
7	106230445	0.011
7	107746253	0.072
7	107816584	0.0016
7	107952211	0.0046
7	108044930	0.00019
7	108066397	0.00034
7	108934072	0.29
7	109040135	0.023
7	109469840	1.0
7	110724433	0.051
7	112652854	0.00028
7	112682515	0.003
7	114293859	0.001
7	114360951	0.0074
7	118179073	0.29
7	118218270	0.5
7	118919137	0.024
7	120688407	0.058
7	122278802	0.01
7	122359692	0.0028
7	125366033	0.0032
7	126713350	0.93
7	127877026	0.12
7	129397644	0.0013
7	130536491	0.24
7	130563437	0.028
7	131281224	0.01
7	131389655	0.00043
7	131393674	0.0004
7	132536559	0.022
7	134441577	0.35
7	135488621	0.0017
7	136691962	0.23
7	136692752	0.0034
7	136913425	0.009
7	137399820	0.055
7	141145284	0.00021
7	141611285	0.1
7	141801007	0.0048
7	141813014	5.6e-05
7	141825321	0.014
7	143425378	0.29
7	143576739	0.019
7	143864670	0.0016
7	146563717	0.6
7	146743131	0.00045
7	147963253	0.14
7	148508833	0.0015
7	150340795	0.0023
7	151006529	0.9
7	152600817	0.00049
7	153462806	5.9e-11
7	153463391	2.1e-09
7	153476140	7.3e-12
7	153487944	4.5e-15
7	154217178	0.047
7	154249412	0.014
7	154443331	0.016
7	155722693	0.0022
7	155879851	0.039
7	157201648	0.0075
7	157437584	0.12
7	157531174	0.29
7	158564043	0.65
8	1493684	0.086
8	1706041	0.0085
8	2712873	0.9
8	3155871	0.001
8	3167898	0.038
8	3717935	0.17
8	4487278	0.0027
8	4488046	0.00027
8	9184628	0.0015
8	9611001	0.038
8	9889914	0.26
8	10100169	0.0059
8	10516374	0.044
8	13540001	0.88
8	14318257	0.0048
8	16637512	0.0012
8	16639271	0.0013
8	17522377	0.071
8	18666210	0.023
8	19590044	0.0032
8	19629768	0.01
8	20787942	0.2
8	23053296	0.42
8	23259377	0.83
8	24222667	0.00099
8	24263618	0.0086
8	24571921	0.14
8	25539830	0.016
8	26555600	0.004
8	26907689	0.00056
8	27227554	0.00049
8	27230819	0.00013
8	27232018	0.00015
8	28104028	0.048
8	31249003	0.28
8	32490310	0.0052
8	34860377	0.88
8	37074938	0.043
8	37200741	0.014
8	37207819	0.0014
8	37980587	0.015
8	40688017	0.94
8	41165741	0.039
8	41555954	0.23
8	41744611	0.001
8	41947770	0.078
8	42369455	2.6e-06
8	42376477	1.2e-06
8	42385748	7.4e-05
8	42404177	6.8e-05
8	42413943	8.1e-05
8	42450170	1.8e-06
8	42451526	1.8e-06
8	42455846	2.7e-06
8	42518723	0.012
8	43079017	0.0034
8	43194921	0.0004
8	48002820	0.074
8	48341970	0.75
8	49055765	0.013
8	49083481	0.016
8	49285399	0.21
8	53095653	0.0021
8	55188781	0.057
8	56307647	0.0018
8	56849386	0.00037
8	59138364	7.4e-05
8	59675214	0.82
8	60229452	9.4e-05
8	61788144	0.0088
8	61795171	0.0021
8	61862346	0.29
8	61967297	0.021
8	63403341	0.28
8	64003847	0.011
8	64387107	0.035
8	64664272	0.00047
8	64739368	0.48
8	64817103	0.00016
8	67329108	0.00077
8	68687835	0.048
8	69358772	0.0026
8	72781495	0.1
8	72966124	0.4
8	73918164	0.024
8	73964751	0.011
8	74352942	0.28
8	74870647	0.00058
8	74888049	0.0034
8	74918871	0.0014
8	77529466	0.11
8	77576939	0.00081
8	81628699	0.0076
8	81764899	0.0048
8	81801599	0.00057
8	82015265	0.45
8	83221332	0.025
8	83972553	0.2
8	85837291	0.21
8	86200864	0.06
8	90774723	0.0008
8	90804641	0.0025
8	90840996	0.04
8	90867483	0.00023
8	90875918	1.6e-05
8	92198211	0.72
8	92618959	0.0081
8	92852705	0.00022
8	93346831	0.57
8	93977130	0.0017
8	96417185	5.8e-05
8	96418497	4.8e-05
8	96433217	0.00047
8	96435888	0.0006
8	96472423	0.14
8	96926819	0.0072
8	96939758	0.0022
8	98451430	0.1
8	100478611	0.042
8	101228483	0.68
8	101555996	0.037
8	102109237	0.00051
8	102133330	0.00021
8	103654071	0.14
8	103680416	0.049
8	106175867	0.0048
8	107789382	0.0011
8	108087085	0.0065
8	109621281	0.0014
8	109779789	0.0047
8	110807064	0.33
8	112643277	0.00054
8	112977379	0.0072
8	114934346	0.46
8	115280841	0.038
8	116161903	0.056
8	116210958	0.00015
8	116215316	0.00018
8	118477189	0.94
8	119140437	0.0035
8	119976256	0.037
8	120448664	0.013
8	120681732	0.054
8	122420903	0.00018
8	122445322	0.00024
8	122606303	0.25
8	122698889	0.0012
8	125908657	0.018
8	126034410	0.92
8	126530530	2.6e-07
8	126533824	1.4e-09
8	126534671	1.6e-12
8	126537570	1.5e-12
8	126540051	2e-12
8	126540587	1.8e-06
8	126543022	1.9e-07
8	126543928	1.6e-07
8	126546389	2.7e-07
8	126895276	0.076
8	128192981	2.4e-05
8	128197088	2.3e-05
8	128209820	0.0001
8	129278791	0.00093
8	129454840	0.13
8	129514190	7.6e-05
8	129543949	5.4e-06
8	129545257	3.3e-06
8	129548134	4.4e-06
8	129548193	3.1e-06
8	129548258	3.5e-06
8	129555443	4.2e-06
8	129555532	3.6e-06
8	129556163	3.5e-06
8	129556356	3.4e-06
8	129559228	4.2e-06
8	129567181	2.3e-06
8	129568078	4e-05
8	130577267	3.5e-05
8	130624105	6.2e-05
8	130630157	0.00029
8	131167048	0.0046
8	131331073	0.006
8	132005210	0.00014
8	132016011	0.00011
8	132027184	0.00032
8	132699454	0.13
8	133836432	0.037
8	135516392	0.0019
8	135571916	0.0012
8	136141967	0.09
8	136789501	0.011
8	139440366	0.45
8	140777251	0.35
8	141372344	0.018
8	142037909	0.00028
8	142038599	0.0019
8	142041700	0.00011
8	142041794	0.00091
8	142730346	0.0089
8	143808951	0.057
8	145279088	6e-05
8	145286483	5e-06
8	146171748	0.17
9	555631	1.1e-05
9	559714	0.00065
9	583418	2.9e-05
9	590454	1.5e-05
9	594262	1.8e-05
9	615310	3.8e-05
9	641720	6.8e-05
9	649750	6.9e-05
9	651183	0.00036
9	3168478	0.37
9	4108625	0.12
9	4839511	0.0091
9	4860300	5.8e-05
9	4860964	0.0027
9	4863952	7.1e-06
9	4864891	6e-05
9	4865256	7.2e-05
9	4964774	3.5e-05
9	4966178	1.4e-05
9	4981602	1e-13
9	4988761	8.9e-09
9	5000811	1.5e-10
9	5008070	4.2e-10
9	5014332	7e-10
9	5022807	8.1e-10
9	5046935	7.1e-10
9	5049065	0.00012
9	5050706	5.2e-09
9	5053743	7e-10
9	5055434	3.6e-09
9	5062473	1.1e-09
9	5063701	1.5e-09
9	5068596	1.5e-09
9	5068755	1.8e-09
9	5070831	2.5e-09
9	5098223	7.4e-08
9	5099677	8.3e-08
9	5108771	7.9e-08
9	5109707	6.4e-08
9	5110000	5.6e-08
9	5113577	5.3e-08
9	5114522	5.9e-08
9	5114523	5.9e-08
9	5114773	4.4e-08
9	5134065	2.1e-08
9	5139489	1.1e-08
9	5147539	7.5e-09
9	5147817	1.7e-08
9	5148278	1.4e-08
9	5163645	1.3e-08
9	5174638	1.5e-08
9	5174829	1.6e-08
9	5175288	2.1e-08
9	5178579	2.1e-08
9	5180548	2e-08
9	5181467	2.1e-08
9	5182159	2e-08
9	5189773	7.7e-07
9	5190444	2e-08
9	5191128	2.3e-08
9	5192874	4.7e-08
9	5196253	1.9e-07
9	5198781	1.6e-06
9	5200060	1e-07
9	5200127	8.9e-08
9	5200714	9.5e-08
9	5203054	1.2e-07
9	5204404	1.5e-07
9	5210671	3.6e-06
9	5213687	6.1e-05
9	5221818	3e-06
9	5222208	2.9e-06
9	5232299	1.6e-07
9	5244356	2.3e-07
9	5245493	2.1e-07
9	5260039	2.1e-07
9	5268139	3.3e-07
9	7298919	0.14
9	7530368	0.018
9	7822519	0.0022
9	7906830	0.02
9	10510683	9.1e-05
9	10775059	0.35
9	12625571	0.092
9	13594150	0.0081
9	13598413	0.0018
9	14448805	0.17
9	15246652	0.0002
9	16211392	0.029
9	16405573	4e-05
9	16851678	0.0099
9	18130574	0.98
9	19476532	8.8e-06
9	19576949	0.0046
9	19654090	0.00019
9	20180855	0.00042
9	20786994	0.3
9	21716997	0.0013
9	22466171	0.11
9	27124745	0.018
9	27430232	0.87
9	27860390	0.12
9	28399214	0.0016
9	29755125	0.0036
9	29789814	0.00034
9	29791410	0.00012
9	29985815	0.0096
9	30222006	0.27
9	31116845	0.0046
9	32331414	0.025
9	34107232	0.00042
9	34968031	0.27
9	35881628	0.011
9	37648367	0.044
9	38654225	0.0014
9	38703163	0.6
9	38756606	0.64
9	38766174	0.17
9	68167130	0.67
9	71318128	0.00045
9	71651605	0.24
9	72634148	0.021
9	73099203	0.0012
9	73104311	2.6e-05
9	73104819	0.0002
9	73118664	3.2e-05
9	73121323	3.2e-05
9	73245255	0.12
9	73650961	0.01
9	74532618	0.58
9	76203946	0.0051
9	78529571	0.00039
9	79414574	7.5e-05
9	79438813	0.0012
9	80834173	0.01
9	81366176	0.024
9	83447633	0.11
9	83714890	0.84
9	84141525	0.0048
9	84281312	0.19
9	86200547	0.00015
9	87864354	0.0021
9	88602016	0.00064
9	89041277	0.0002
9	89071733	0.00068
9	89105484	0.025
9	89782806	0.25
9	89817082	0.00052
9	90202577	0.12
9	92074429	0.7
9	92105854	0.0055
9	93254227	0.00054
9	93377901	0.00072
9	95140351	0.0086
9	95256695	0.032
9	95283887	0.0025
9	95621504	0.069
9	97845505	0.46
9	100308016	0.21
9	101571655	0.11
9	101699038	0.032
9	103575737	0.0043
9	103666047	0.24
9	103771050	0.4
9	105547307	0.00012
9	107877624	0.0083
9	108847224	0.0034
9	109240561	0.00011
9	110241529	0.31
9	110724246	0.00074
9	110735564	9.8e-05
9	110750459	0.00029
9	111360188	0.012
9	111602054	0.79
9	112661908	0.12
9	114161657	0.035
9	117415036	0.0096
9	117535054	5.9e-07
9	117538334	4.2e-14
9	117547772	1.5e-15
9	117552885	1e-15
9	117553249	1.3e-15
9	117558703	9.1e-14
9	117566440	2.3e-14
9	117568766	3.1e-14
9	117569046	1.9e-13
9	117570856	1.9e-06
9	117576479	1.7e-07
9	117581940	2.5e-07
9	117584082	8.3e-08
9	117587022	3.4e-07
9	117587092	6.7e-06
9	117589574	1.4e-06
9	117589613	1.1e-06
9	117609919	2.2e-06
9	117611913	2.5e-06
9	117613032	6.2e-05
9	117619214	3.1e-08
9	117620404	3.6e-06
9	117627569	1.6e-07
9	117643362	5e-08
9	117647599	0.00036
9	117654990	1.4e-07
9	117972155	0.00018
9	118095109	0.00065
9	118376030	0.3
9	118518250	0.045
9	120756290	0.0033
9	121209073	0.62
9	121540103	0.028
9	124993505	0.42
9	129141614	0.2
9	129647222	0.028
9	129731851	0.0053
9	130108438	0.00063
9	130110715	0.00059
9	130115259	0.00091
9	130152522	0.0015
9	130455691	0.11
9	130489743	0.0036
9	131776041	0.018
9	133327835	0.1
9	133600357	0.24
9	135184237	0.00093
9	135210324	5.4e-05
9	135216186	0.00019
9	135217206	0.00013
9	135218343	1.8e-05
9	136212369	0.0026
9	136270996	0.00058
9	137440212	0.75
9	138527913	0.0056
9	139252879	2.4e-06
9	139254897	1.1e-05
9	139257411	5.3e-08
9	139261086	1.6e-17
9	139266405	3.5e-18
9	139266496	4.4e-19
9	139269135	1.1e-18
9	139269338	1e-18
9	139269905	1.6e-16
9	139270975	1.7e-06
9	139271747	1.2e-18
9	139272058	1.3e-18
9	139273288	1.6e-06
9	139273790	1.6e-06
9	139275204	5.4e-16
9	139280766	3.5e-09
9	139284452	6.1e-06
9	139286296	1.5e-06
9	139289825	5.9e-19
9	139293259	9.4e-17
9	139296485	3.3e-09
9	139299637	3e-06
9	139301583	1.3e-13
9	139303301	9.1e-13
9	139304016	1.2e-06
9	139312719	1.8e-13
9	139316601	1.7e-13
9	139316744	1.3e-07
9	139316916	3.5e-08
9	139317869	2.1e-08
9	139319129	2.3e-08
9	139320069	1.9e-10
9	139323311	9.9e-13
9	139327034	9.4e-11
9	139327439	7.4e-11
9	139335599	6.8e-10
9	139341612	1.1e-09
9	139364585	2e-10
9	139368953	1.5e-09
9	139369062	1e-09
9	139369212	9e-09
9	139376426	3.1e-10
9	139598108	0.056
9	139651885	0.2
9	139693596	0.00017
9	139693992	0.0062
9	139694521	0.00017
9	139815053	0.0016
9	139836362	0.0049
9	139839904	0.0057
9	139859013	0.039
9	140450159	0.64
10	1840995	0.22
10	3518880	0.65
10	3630977	2.3e-05
10	3666716	7e-05
10	5635591	0.0023
10	6069893	4e-05
10	6081230	1.4e-05
10	6102012	8.5e-06
10	6215257	0.0012
10	6347698	0.037
10	6527143	0.012
10	6603917	0.0004
10	7331951	0.074
10	9829806	0.12
10	10977601	0.011
10	13065288	0.032
10	14038779	0.00018
10	14063744	0.00059
10	14085835	1.3e-05
10	14086579	5.2e-06
10	14134826	0.00099
10	14578423	0.39
10	15221174	0.21
10	15370036	0.0047
10	15418175	6.4e-06
10	15427222	7.8e-05
10	15435871	2.8e-06
10	15437401	2.7e-06
10	15449604	2.7e-06
10	15702362	0.00041
10	16281080	0.61
10	17384196	0.013
10	18975192	0.15
10	19975626	0.0041
10	19978054	0.0012
10	20375875	0.098
10	21314604	0.022
10	23383522	0.0098
10	27734885	0.12
10	28975865	0.93
10	29080182	0.0035
10	29237744	0.036
10	29426092	0.31
10	30690376	4.4e-06
10	30691743	2.3e-05
10	30699265	2.6e-06
10	30711929	2.6e-06
10	30731893	3.1e-06
10	30762088	0.00058
10	30762973	0.00067
10	30890572	9.2e-05
10	30905293	6.6e-05
10	31149545	0.1
10	31384679	0.031
10	31411113	0.00052
10	31881737	0.0034
10	32716257	7.2e-05
10	33207497	1.6e-05
10	33475282	0.27
10	33496289	0.012
10	35274750	8.8e-05
10	35285117	9e-09
10	35295431	1e-08
10	35303334	1e-08
10	35309367	9e-09
10	35322024	7.5e-09
10	35323636	6.2e-09
10	35326263	6.6e-09
10	35328088	7.5e-09
10	35332164	6.2e-09
10	35335458	0.0018
10	35338699	4.8e-08
10	35339324	5.7e-09
10	35343497	1.4e-05
10	35359475	6.2e-09
10	35359619	7.9e-09
10	35362977	6.3e-09
10	35370465	6.7e-09
10	35376769	5.8e-09
10	35377715	6.7e-09
10	35381373	6.7e-09
10	35386237	6e-09
10	35387187	6.3e-09
10	35389843	5.8e-09
10	35410291	3.3e-09
10	35426755	3.3e-09
10	35429825	2.3e-09
10	35430285	1.9e-09
10	35434373	3e-09
10	35438337	3.4e-09
10	35440141	3.3e-09
10	35459976	1.9e-09
10	35472150	2e-09
10	35474699	2.4e-09
10	35481965	2e-09
10	35484949	2.4e-09
10	35496730	4.6e-09
10	35499043	2.7e-09
10	35517234	2.4e-09
10	35526574	1e-06
10	35535597	4.7e-07
10	35535695	1.1e-09
10	35541026	4.7e-09
10	35548099	1.3e-08
